fold,epoch,train_loss,val_auc
1,1,0.23555365389277597,0.6949472497449365
1,2,0.22501618488204098,0.6867041704793814
1,3,0.2208158892690902,0.6927459989141348
1,4,0.21650894378289334,0.6853539213393911
2,1,0.23458416639646662,0.693506096433069
2,2,0.223535875211784,0.6965225617441382
2,3,0.21921271447285703,0.6935106731810441
2,4,0.21557946376426707,0.6961523097355649
2,5,0.21131460986761272,0.6895734881124524
3,1,0.23097927658824738,0.687384001860786
3,2,0.22100705306460955,0.689033061303872
3,3,0.21681323053668566,0.6918378406034296
3,4,0.21300835491486328,0.6907255340891817
3,5,0.20943953471047866,0.6926062109707003
3,6,0.20581551148667213,0.6846569238363844
3,7,0.2020104314705239,0.6806727011820681
3,8,0.1986541282371009,0.6873182011970111
4,1,0.2341080373622032,0.6873542464050008
4,2,0.22372272401122864,0.695521496322423
4,3,0.219561251880931,0.6983859282803639
4,4,0.21560462399201452,0.6968184309298103
4,5,0.21138561337393194,0.6927960505978622
4,6,0.20763136981020638,0.691289997976936
5,1,0.23343204194327544,0.6886833665446679
5,2,0.22278270718636475,0.694449610329243
5,3,0.21864633705149175,0.6846515599193865
5,4,0.21464541636284917,0.6885080730829601
5,5,0.210693862292106,0.6827077717327166
