fold,epoch,train_loss,val_auc
1,1,0.23809935538763483,0.6983159824279708
1,2,0.22697298887105327,0.6976036024910476
1,3,0.22255010575740294,0.707230782411332
1,4,0.21918990207214503,0.7100673209184323
1,5,0.2161546192291571,0.7080447052764072
1,6,0.21304483072792865,0.7056031098870676
1,7,0.20958218290262798,0.7049967107903256
2,1,0.23747917346922623,0.7043916612396539
2,2,0.22509876867047246,0.705690040373212
2,3,0.22087904886713608,0.7126467581747291
2,4,0.21770337064615156,0.7107153621624653
2,5,0.21468698391591232,0.7111671673216997
2,6,0.21170614221848366,0.7091358850756793
3,1,0.23422458915619634,0.6951912467153952
3,2,0.22300618259100635,0.70845617975251
3,3,0.21862905332757884,0.7077640747354674
3,4,0.21560543023113976,0.7016000134819356
3,5,0.2124581289896292,0.713585665915921
3,6,0.20932984929808804,0.7034994927371482
3,7,0.2064094373335765,0.7058092510569454
3,8,0.20369325215694273,0.7030855815768473
4,1,0.237931451812958,0.7030119617507842
4,2,0.2254430988136297,0.7108464596724875
4,3,0.22113966773111765,0.7083912215249465
4,4,0.21795803956355062,0.7122498518529785
4,5,0.21499067850113537,0.7122631200098326
4,6,0.21177699654796805,0.7079248046512663
4,7,0.20920608796814916,0.7157897612754109
4,8,0.20624909235833677,0.7104551073447039
4,9,0.2034761033740362,0.7087444081216175
4,10,0.2008925963561528,0.7153408668813687
5,1,0.23677632856425,0.6895544257662586
5,2,0.22481956373547377,0.704184483120054
5,3,0.22054267923296383,0.7034957141318123
5,4,0.21709168185313502,0.7030993626124598
5,5,0.2139366643351206,0.704036994171628
